# Scale75 — ใส่ hex หลังเครื่องหมาย |
# Format: ชื่อสี | #HEX (Set)
# Scale75 ไม่มีรหัสขวด — ใช้ Set เป็นตัวแบ่งประเภท

# ── Artist Range ──────────────────────────────────────
Navy Blue | #253B6D (Scale Color Range)
Orange Leather | #A06337 (Scale Color Range)
Pale Skin | #F1D9CF (Scale Color Range)
Petroleum Gray | #554D4B (Scale Color Range)
Pink Flesh | #D1928D (Scale Color Range)
Rainy Gray | #8B8683 (Scale Color Range)
Red Leather | #5F3634 (Scale Color Range)
Sahara Yellow | #AA852D (Scale Color Range)
Sandalwood | #B89086 (Scale Color Range)
Sherwood Green | #7D853A (Scale Color Range)
Sky Blue | #2496C8 (Scale Color Range)
Sol Yellow | #ECCB00 (Scale Color Range)
Sunset Purple | #622E54 (Scale Color Range)
Tenere Yellow | #E5C76F (Scale Color Range)
Tesla Blue | #414D97 (Scale Color Range)
Thar Brown | #B09F81 (Scale Color Range)
Violet Blue | #604673 (Scale Color Range)
Walnut | #7D6450 (Scale Color Range)
White Sands | #F6E1C6 (Scale Color Range)

# ── Warfront  Range ──────────────────────────────────────
American Olive | #736737 (Warfront  Range)
Braun | #E5C89E (Warfront  Range)
Cremeweiss | #FCFCE0 (Warfront  Range)
Dark Earth | #643722 (Warfront  Range)
Deep Ocean | #000B2B (Warfront  Range)
Desert Yellow | #D9AF75 (Warfront  Range)
Dunkelbraun Brown | #413028 (Warfront  Range)
Dunkelgelb 44 | #DED1B1 (Warfront  Range)
Dunkelgelb Yellow | #CBB550 (Warfront  Range)
Dunkelgrau Gray | #57585A (Warfront  Range)
Field Grey 1 | #39553C (Warfront  Range)
Field Grey 2 | #3F4C45 (Warfront  Range)
Flat Black | #1C1C1C (Warfront  Range)
Flight Blue | #01688B (Warfront  Range)
Gelbraun Brown | #D5AC74 (Warfront  Range)
Grau | #E8D5C4 (Warfront  Range)
Graugrun Gray | #A08848 (Warfront  Range)
Green Ochre | #948123 (Warfront  Range)
Leaden Sky | #404F70 (Warfront  Range)
Light Sky | #7890B4 (Warfront  Range)
Ocean Blue | #0C2140 (Warfront  Range)
Ocean Gray | #556477 (Warfront  Range)
Olive Brown | #434631 (Warfront  Range)
Olivegrun 44 | #93A45D (Warfront  Range)
Olivegrun Green | #5A6432 (Warfront  Range)
Orange | #E9670F (Warfront  Range)
Pale Earth | #5F4125 (Warfront  Range)
Panzer Grey | #30383B (Warfront  Range)
Panzer Yellow | #D6C78C (Warfront  Range)
Red Label | #DF0617 (Warfront  Range)
Rotbraun 44 | #905024 (Warfront  Range)
Rotbraun Primer Red | #925447 (Warfront  Range)
Rotbraun Red | #52341A (Warfront  Range)
Russian Green | #584F26 (Warfront  Range)
Russian Light Green | #635111 (Warfront  Range)
Russian Uniform | #695928 (Warfront  Range)
Sahara Sand | #EFD066 (Warfront  Range)
Sand Yellow | #EAC581 (Warfront  Range)
Shadow Blue | #2A3245 (Warfront  Range)
Slate Gray | #372B15 (Warfront  Range)
Smoke Gray | #886859 (Warfront  Range)
Ss Camo Dark Brown | #220B05 (Warfront  Range)
Ss Camo Dark Green | #2A331E (Warfront  Range)
SS Camo Golden Brown | #F0A001 (Warfront  Range)
Ss Camo Gray Brown | #6F4F36 (Warfront  Range)
Ss Camo Grey | #8F8063 (Warfront  Range)
Ss Camo Highlights | #FAB861 (Warfront  Range)
Ss Camo Italian Green | #3F5232 (Warfront  Range)
Ss Camo Light Green | #7E8126 (Warfront  Range)
Ss Camo Medium Brown | #825D31 (Warfront  Range)
Ss Camo Medium Green | #4D5025 (Warfront  Range)
Ss Camo Ocher Brown | #CFAE5F (Warfront  Range)
Ss Camo Red Brown | #593A1B (Warfront  Range)
Ss Camo Top Lights | #FBC77E (Warfront  Range)
Ss Camo Top Shadows | #343428 (Warfront  Range)
Ss Camo Yellow Sand | #C0A56E (Warfront  Range)
Titanium Gray | #41342B (Warfront  Range)
Us Dark Brown | #AE8A72 (Warfront  Range)
Us Green | #474632 (Warfront  Range)
Us Medium Brown | #D4AD84 (Warfront  Range)
White | #FFFFFF (Warfront  Range)
Winter Grey | #6E6E70 (Warfront  Range)
Winter Shadow | #3A3C39 (Warfront  Range)
Yellow Code | #FFCB06 (Warfront  Range)
